date,consumption
7/12/2022,9127.1
7/13/2022,8251.29
7/14/2022,7344.18
7/15/2022,7136.31
7/16/2022,5269.62
7/17/2022,3887.04
7/18/2022,10548.7
7/19/2022,10975.85
7/20/2022,7819.14
7/21/2022,7230.04
7/22/2022,7007.5
7/23/2022,4618.24
7/24/2022,3845.24
7/25/2022,7225.77
7/26/2022,7105.67
7/27/2022,7383.79
7/28/2022,7653.86
7/29/2022,7144.7
7/30/2022,5289.02
7/31/2022,4071.66
8/1/2022,4869.44
8/2/2022,6921.84
8/3/2022,6970.45
8/4/2022,7061.76
8/5/2022,7497.68
8/6/2022,5572.72
8/7/2022,4563.22
8/8/2022,7768.01
8/9/2022,7315.7
8/10/2022,7532.97
8/11/2022,7180.1
8/12/2022,7228.58
8/13/2022,4844.47
8/14/2022,3964.91
8/15/2022,6891.8
8/16/2022,7078.24
8/17/2022,7443.74
8/18/2022,7754.23
8/19/2022,7502.21
8/20/2022,4627.67
8/21/2022,3799.26
8/22/2022,4335.14
8/23/2022,7050.01
8/24/2022,7186.19
8/25/2022,7862.75
8/26/2022,7823.23
8/27/2022,7757.52
8/28/2022,6111.45
8/29/2022,6443.68
8/30/2022,7358.94
8/31/2022,6835.62
9/1/2022,6948.2
9/2/2022,6261.77
9/3/2022,4675.9
9/4/2022,4088.06
9/5/2022,5708.18
9/6/2022,6348.36
9/7/2022,6513.72
9/8/2022,5140.08
9/9/2022,3914.35
9/10/2022,3726.38
9/11/2022,3734.66
9/12/2022,4683.99
9/13/2022,5151.73
9/14/2022,5245.52
9/15/2022,5510.31
9/16/2022,5323.66
9/17/2022,4534.04
9/18/2022,4191.66
9/19/2022,4957.9
9/20/2022,5049.34
9/21/2022,5291.13
9/22/2022,5331.85
9/23/2022,5192.56
9/24/2022,4409.98
9/25/2022,4095.21
9/26/2022,6526.41
9/27/2022,7203.76
9/28/2022,8581.06
9/29/2022,8502.29
9/30/2022,7301.88
10/1/2022,4723.73
10/2/2022,4160.94
10/3/2022,6905.65
10/4/2022,6592.4
10/5/2022,7252.59
10/6/2022,8620.58
10/7/2022,9683.54
10/8/2022,4709.01
10/9/2022,4121.86
10/10/2022,7427.51
10/11/2022,9250.08
10/12/2022,6210.91
10/13/2022,9730.11
10/14/2022,10460
10/15/2022,5319.28
10/16/2022,4137.56
10/17/2022,9281.51
10/18/2022,10437.56
10/19/2022,7878.17
10/20/2022,9124.65
10/21/2022,9360.77
10/22/2022,4750.93
10/23/2022,3845.4
10/24/2022,7951.73
10/25/2022,9310.2
10/26/2022,8388.75
10/27/2022,7488.61
10/28/2022,7323.47
10/29/2022,4632.21
10/30/2022,3640.96
10/31/2022,9858.64
11/1/2022,4803.56
11/2/2022,4803.56
11/3/2022,5805.83
11/4/2022,5425.46
11/5/2022,3854.55
11/6/2022,3644.48
11/7/2022,5058.92
11/8/2022,5775.21
11/9/2022,6034.1
11/10/2022,5519.34
11/11/2022,5246.02
11/12/2022,4102.59
11/13/2022,3804.68
11/14/2022,4864.51
11/15/2022,5033.16
11/16/2022,6061.61
11/17/2022,5405.73
11/18/2022,6033.31
11/19/2022,4268.21
11/20/2022,4077.78
11/21/2022,4996.51
11/22/2022,8520.3
11/23/2022,8566.1
11/24/2022,7754.45
11/25/2022,7830.96
11/26/2022,3851.59
11/27/2022,3569.56
11/28/2022,5945.44
11/29/2022,6224.86
11/30/2022,6525.16
12/1/2022,6410.9
12/2/2022,6062.47
12/3/2022,4603.85
12/4/2022,3648.7
12/5/2022,5072.8
12/6/2022,8278.84
12/7/2022,8012.21
12/8/2022,8307.69
12/9/2022,7520.16
12/10/2022,4173.03
12/11/2022,3907.96
12/12/2022,8837.68
12/13/2022,8969.13
12/14/2022,9068.69
12/15/2022,8929.13
12/16/2022,8166.11
12/17/2022,4310.14
12/18/2022,3532.75
